20/11/2019 20:16:22 | Safari.Data.dll | Read | Safari.Data.ClienteDAC | 54 | Listado de clientes
22/11/2019 04:25:04 | Safari.Data.dll | Read | Safari.Data.ClienteDAC | 54 | Listado de clientes
22/11/2019 04:26:04 | Safari.Data.dll | Read | Safari.Data.ClienteDAC | 54 | Listado de clientes
22/11/2019 19:40:53 | Safari.Data.dll | Read | Safari.Data.ClienteDAC | 54 | Listado de clientes
22/11/2019 19:41:26 | Safari.Data.dll | Read | Safari.Data.ClienteDAC | 54 | Listado de clientes
22/11/2019 19:41:27 | Safari.Data.dll | Read | Safari.Data.ClienteDAC | 54 | Listado de clientes
22/11/2019 19:52:31 | Safari.Data.dll | Read | Safari.Data.ClienteDAC | 54 | Listado de clientes
22/11/2019 19:53:10 | Safari.Data.dll | Read | Safari.Data.ClienteDAC | 54 | Listado de clientes
22/11/2019 19:53:13 | Safari.Data.dll | Read | Safari.Data.ClienteDAC | 54 | Listado de clientes
22/11/2019 19:53:41 | Safari.Data.dll | Read | Safari.Data.ClienteDAC | 54 | Listado de clientes
22/11/2019 19:55:54 | Safari.Data.dll | Read | Safari.Data.ClienteDAC | 54 | Listado de clientes
28/11/2019 13:59:26 | Safari.UI.Web.dll | Application_Start | Safari.UI.Web.MvcApplication | 24 | Init Application Start
28/11/2019 14:02:32 | Safari.UI.Web.dll | Application_Start | Safari.UI.Web.MvcApplication | 24 | Init Application Start
28/11/2019 14:09:36 | Safari.UI.Web.dll | Application_Start | Safari.UI.Web.MvcApplication | 24 | Init Application Start
28/11/2019 14:12:46 | Safari.UI.Web.dll | Application_Start | Safari.UI.Web.MvcApplication | 24 | Init Application Start
28/11/2019 14:15:05 | Safari.UI.Web.dll | Application_Start | Safari.UI.Web.MvcApplication | 24 | Init Application Start
28/11/2019 17:48:29 | Safari.UI.Web.dll | Application_Start | Safari.UI.Web.MvcApplication | 24 | Init Application Start
28/11/2019 18:14:20 | Safari.UI.Web.dll | Application_Start | Safari.UI.Web.MvcApplication | 24 | Init Application Start
28/11/2019 18:27:00 | Safari.UI.Web.dll | Application_Start | Safari.UI.Web.MvcApplication | 24 | Init Application Start
28/11/2019 18:30:46 | Safari.UI.Web.dll | Application_Start | Safari.UI.Web.MvcApplication | 24 | Init Application Start
28/11/2019 18:31:32 | Safari.UI.Web.dll | Application_Start | Safari.UI.Web.MvcApplication | 24 | Init Application Start
28/11/2019 18:36:51 | Safari.UI.Web.dll | Application_Start | Safari.UI.Web.MvcApplication | 24 | Init Application Start
28/11/2019 19:19:23 | Safari.UI.Web.dll | Application_Start | Safari.UI.Web.MvcApplication | 24 | Init Application Start
28/11/2019 19:26:52 | Safari.UI.Web.dll | Application_Start | Safari.UI.Web.MvcApplication | 24 | Init Application Start
28/11/2019 19:38:12 | Safari.UI.Web.dll | Application_Start | Safari.UI.Web.MvcApplication | 24 | Init Application Start
28/11/2019 19:42:41 | Safari.UI.Web.dll | Application_Start | Safari.UI.Web.MvcApplication | 24 | Init Application Start
